x,y
http://www.wikidata.org/entity/Q358541,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q365950,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q382785,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q383027,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q388333,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q510558,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q599907,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q608224,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q611509,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q651374,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q666209,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q722963,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q852011,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q930448,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1022300,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1128200,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1234720,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1281162,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1297344,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1362371,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1550997,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1565669,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1727446,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1878696,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1887166,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1887196,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1887206,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q1907962,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2007684,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2116263,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2562036,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2576040,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2866399,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q2869296,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3270387,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3503780,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3558606,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3559805,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3667177,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q3748280,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q4893997,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q5092559,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11916406,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11919537,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11925577,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q11955246,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12096330,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12104263,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12122362,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12122364,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12166050,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q12872960,-0600-01-01T00:00:00Z
http://www.wikidata.org/entity/Q66827984,-0550-01-01T00:00:00Z
http://www.wikidata.org/entity/Q131640,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q176287,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q191964,-0500-01-01T00:00:00Z
http://www.wikidata.org/entity/Q192211,-0500-01-01T00:00:00Z
